title,author,date,link,sentiment_label,sentiment_score,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness,keywords
Drift,Brenda Shaughnessy,"Apr 7, 2016",http://poetry.lib.uidaho.edu/index.php/poems/drift/,negative,-0.4651,0.0989,0.0888,0.1575,0.2299,0.5278,good spots; wrong-handled scissors; boring eyes; haunted lake; n’t share; rinse; Disappointment; ditch; pairs; tourists; tender; blanket; lice; cities; Windows; nights; restaurants; place; ferry; river; canoe; boats; blood
Histories 7,Chris Abani,"Apr 21, 2016",http://poetry.lib.uidaho.edu/index.php/poems/histories-7/,negative,-0.0215,0.1797,0.0972,0.1419,0.1732,0.5339,Cradle her head; chest; mother; lie; father; man
Family Trip,Brenda Shaughnessy,"Apr 10, 2016",http://poetry.lib.uidaho.edu/index.php/poems/family-trip/,negative,-0.1799,0.1309,0.0454,0.4151,0.0121,0.5189,tighter clans; stronger trees; wilder; sisters; fires.; step
In the Graveyard,Erin Belieu,"Apr 29, 2016",http://poetry.lib.uidaho.edu/index.php/poems/in-the-graveyard/,negative,-0.1512,0.2702,0.2095,0.1429,0.2326,0.2351,counterfeit halo; long-gone husband; tin star; dead win; fine effect; urgent pink; sublime places; cold kind; awful flowers; jailbreak; bleating; azaleas; default; bench; angels; boy; room; beauty; contests; sun; plot
Divination 4,Chris Abani,"Jan 22, 2016",http://poetry.lib.uidaho.edu/index.php/poems/divination-4/,negative,-0.2328,0.1369,0.2082,0.7627,0.0006,0.0640,constantly changing channel; eye chart; hot sweat; old habit; Ethiopian coffee; remote control; political views; dmv; Uniformed; COP; psyche; glance; crowd; McDonald; fear; uniforms; bomb; Monsters; odds
Elephants 1,Chris Abani,"Mar 9, 2016",http://poetry.lib.uidaho.edu/index.php/poems/elephants-1/,negative,-0.1583,0.4172,0.1610,0.5779,0.5538,0.4542,Gennady Aygi translations; warm bed breathing; simple white birds; KKK outfits; small college; Bean return; skylight lets; gentle warmth; white boys; arrow slit; old notebook; red night; applause; lilies; flutter; shame; smell; lust; tears; rage; audience; hood; fear; flock; horizon; walk; lovers; South; poem; stage; fabric
Elephants 4,Chris Abani,"Dec 24, 2015",http://poetry.lib.uidaho.edu/index.php/poems/elephants-4/,negative,-0.3130,0.1848,0.1820,0.4643,0.0706,0.4574,absent flesh; Sarah’s translation; elephants; veld; whiteness; skeletons; howl; Gennady; trunks; absence; silence; bones; metaphor; Steps; mother; place; flower; parent; poem; age; time; stories; language; woman
Elephants 5,Chris Abani,"Apr 14, 2016",http://poetry.lib.uidaho.edu/index.php/poems/elephants-5/,negative,-0.1188,0.1334,0.1253,0.4116,0.2223,0.4746,warm bread; simple dish; dead father; toy bear; rain; Tadeusz; slice; Minotaur; slab; walk; beans; saw; layer; bowl; labyrinth; hands; chair; steam; dream; heart; tomatoes
Histories 4,Chris Abani,"Apr 26, 2016",http://poetry.lib.uidaho.edu/index.php/poems/histories-4/,negative,-0.3120,0.1480,0.1367,0.5413,0.4778,0.4852,unfinished septic tank; sister’s tea; plastic teapot; water-eroded wood; father; son; weakness; kind; dolls; party; life; Sanctificum; way; war; body
Histories 8,Chris Abani,"Mar 20, 2016",http://poetry.lib.uidaho.edu/index.php/poems/histories-8/,negative,-0.3019,0.1104,0.1138,0.6425,0.2984,0.5690,wonderful bile; machete cut; sugary sludge; cherry syrup; just-arriving moments; ways; astonishment; wets; impatient; skin; creep; pancakes; cracks; stomach; obsidian; bullet; crucifixion; shock; Resurrection; man; capacity; blood; road; body; people
Pilgrimage 8,Chris Abani,"Jan 8, 2016",http://poetry.lib.uidaho.edu/index.php/poems/pilgrimage-8/,negative,-0.4630,0.0598,0.7896,0.1070,0.0010,0.1155,red eyes; pink skin; shame; utensils; breath; sister; plate; Emeka
