title,author,poem,date,link,sentiment_score,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness
Drift,Brenda Shaughnessy,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#shaughnessy"">Brenda Shaughnessy</a></em></p>
<p></p>
<p></p>
<p class=""line"">I’ll go anywhere to leave you but come with me. </p>
<p class=""line"">All the cities are like you anyway. Windows </p>
<p class=""line"">darken when I get close enough to see. </p>
<p class=""line"">Any place we want to stay’s polluted, </p>
<p></p>
<p></p>
<p class=""line"">the good spots taken already by those </p>
<p class=""line"">who ruin them. And restaurants we’d never find. </p>
<p class=""line"">We’d rut a ditch by a river in nights </p>
<p class=""line"">so long they must be cut by the many pairs </p>
<p></p>
<p></p>
<p class=""line"">of wrong-handled scissors maybe god owns </p>
<p class=""line"">and doesn’t share. I water god. </p>
<p class=""line"">I make a haunted lake and rinse and rinse. </p>
<p class=""line"">I take what I want, and have ever since what </p>
<p></p>
<p></p>
<p class=""line"">I want disappeared, like anything hunted. </p>
<p class=""line"">That’s what you said. Disappointment </p>
<p class=""line"">isn’t tender, dried and wide instead. </p>
<p class=""line"">The tourists snapped you crying, </p>
<p></p>
<p></p>
<p class=""line"">and the blanket I brought was so dirty </p>
<p class=""line"">it must have been lying around </p>
<p class=""line"">in lice and blood that whole year we fought. </p>
<p class=""line"">It wasn’t clear, so I forgot. </p>
<p></p>
<p></p>
<p class=""line"">I haven’t been sleeping, next to you </p>
<p class=""line"">twitching to bury my boring eyes. </p>
<p class=""line"">The ship made you sad, and the ferry, and canoe. </p>
<p class=""line"">All boats do. </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={48262F34-3B05-4DCD-905C-BA77C8DCCBC9}"">Human Dark with Sugar</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71181410150001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2008 Brenda Shaughnessy<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Apr 7, 2016",http://poetry.lib.uidaho.edu/index.php/poems/drift/,-0.465084,0.098862,0.088789,0.157495,0.229946,0.527761
Histories 7,Chris Abani,"<p class=""line""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#chris-abani"">Chris Abani</a></em></p>
<p></p>
<p></p>
<p class=""line"">As I grow older I want to hold my mother. </p>
<p class=""line"">Hold her to my chest and soothe her. </p>
<p class=""line"">Cradle her head that is small, thin as a sparrow’s, </p>
<p class=""line"">and say, He loved you, he did. </p>
<p class=""line"">All those years, they count for something. </p>
<p class=""line"">And the only lie would be the not knowing. </p>
<p class=""line"">And I am a man, too. </p>
<p class=""line"">And like my father, bad, bad, bad. </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={3C0744D9-0AFE-4E6C-BCC3-83A30E833ADF}"">Sanctificum</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71162929870001451"">Find it in the library</a></p><p class=""citation"">Copyright 2010 Chris Abani<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Apr 21, 2016",http://poetry.lib.uidaho.edu/index.php/poems/histories-7/,-0.0214847,0.179707,0.097155,0.141934,0.17324,0.533867
Family Trip,Brenda Shaughnessy,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#shaughnessy"">Brenda Shaughnessy</a></em></p>
<p></p>
<p class=""line"">We never knew closer </p>
<p class=""line"">sisters, stronger trees, </p>
<p class=""line"">tighter clans, wilder </p>
<p class=""line"">fires. Where can we </p>
<p class=""line"">go if not to each other, </p>
<p class=""line"">resenting every step? </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={D94EFFCA-8152-4F02-96E6-7C795F596CE3}"">Our Andromeda</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71123508920001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2012 Brenda Shaughnessy <br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Apr 10, 2016",http://poetry.lib.uidaho.edu/index.php/poems/family-trip/,-0.1799,0.130897,0.045392,0.415112,0.012107,0.518884
In the Graveyard,Erin Belieu,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#belieu"">Erin Belieu</a></em></p>
<p></p>
<p></p>
<p class=""line"">Conceited boy, even here, in the angels’ waiting</p>
<p class=""line"">room, where the dead win all the beauty</p>
<p class=""line"">contests by default, you arrived with the sun</p>
<p class=""line"">behind you, working your counterfeit halo,</p>
<p class=""line"">true as a tin star. It’s a fine effect. But today,</p>
<p></p>
<p class=""line"">for once, you take second to the ugly</p>
<p class=""line"">jailbreak of azaleas rioting behind us, where</p>
<p class=""line"">I kiss you again and we linger on the bench</p>
<p class=""line"">of a long-gone husband’s plot. Though,</p>
<p></p>
<p class=""line"">if you are what I think you are, with terrible</p>
<p class=""line"">friends in sublime places, explain to me your</p>
<p class=""line"">cold kind of heart, unmoved by the inappropriate.</p>
<p class=""line"">Teach me to survive you. Tell me, what kind</p>
<p></p>
<p class=""line"">won’t choose these awful flowers? Who</p>
<p class=""line"">refuses this bleating, urgent pink? </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={31E40605-3457-4C23-A9AB-848A5FDF6CCB}"">Black Box</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71147077130001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2006 Erin Belieu <br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Apr 29, 2016",http://poetry.lib.uidaho.edu/index.php/poems/in-the-graveyard/,-0.151218,0.270171,0.209488,0.142853,0.232619,0.235129
Divination 4,Chris Abani,"<p class=""line""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#chris-abani"">Chris Abani</a></em></p>
<p></p>
<p></p>
<p class=""line"">No I am not afraid of the eye chart: </p>
<p class=""line"">in THE dmv </p>
<p class=""line"">But i sHakE </p>
<p class=""line"">at The Uniformed </p>
<p class=""line"">COP who WaLks In. </p>
<p class=""line"">My fear of uniforms is an old habit, comfortable. </p>
<p class=""line"">Sometimes even the chief fryer at McDonald’s can </p>
<p class=""line"">make me break into a hot sweat if I am not expecting his glance. </p>
<p class=""line"">Monsters don’t crowd your psyche </p>
<p class=""line"">but rather sit awkwardly on the remote control, </p>
<p class=""line"">too polite to get up and move it, until </p>
<p class=""line"">the constantly changing channel is unbearable. </p>
<p class=""line"">The odds are that my political views won’t stop the invasion, </p>
<p class=""line"">but to drink Ethiopian coffee during a bomb- </p>
<p class=""line"">storm is still rebellious. </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={3C0744D9-0AFE-4E6C-BCC3-83A30E833ADF}"">Sanctificum</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71162929870001451"">Find it in the library</a></p><p class=""citation"">Copyright 2010 Chris Abani<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Jan 22, 2016",http://poetry.lib.uidaho.edu/index.php/poems/divination-4/,-0.232835,0.136891,0.208159,0.76272,0.000567,0.06395
Elephants 1,Chris Abani,"<p class=""line""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#chris-abani"">Chris Abani</a></em></p>
<p></p>
<p class=""line"">There was this small college in the South where I read </p>
<p class=""line"">and three white boys in the audience </p>
<p class=""line"">in KKK outfits, stiff like lilies for a funeral. </p>
<p class=""line"">The walk up to them was long with fear and shame and rage. </p>
<p class=""line"">But I took the hood off one and wore it back to the stage </p>
<p class=""line"">and through my reading to a deafening applause. </p>
<p class=""line"">But I mostly remember how hot it was under the fabric </p>
<p class=""line"">and how that boy’s smell filled me, </p>
<p class=""line"">and how wet my tears were. </p>
<p class=""line"">And Bean in the warm bed breathing softly and me cold </p>
<p class=""line"">on the floor and writing this poem in an old notebook. </p>
<p class=""line"">And the arrow slit of skylight lets in only a red night. </p>
<p class=""line"">And her Gennady Aygi translations flutter by the bed </p>
<p class=""line"">like a flock of simple white birds. </p>
<p class=""line"">The more we promise to never leave our lovers, </p>
<p class=""line"">the faster the horizon arrives. My lust is simpler still: </p>
<p class=""line"">that Bean return to me every night with her gentle warmth. </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={3C0744D9-0AFE-4E6C-BCC3-83A30E833ADF}"">Sanctificum</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71162929870001451"">Find it in the library</a></p><p class=""citation"">Copyright 2010 Chris Abani<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Mar 9, 2016",http://poetry.lib.uidaho.edu/index.php/poems/elephants-1/,-0.158341,0.417187,0.161038,0.57794,0.553802,0.454243
Elephants 4,Chris Abani,"<p class=""line""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#chris-abani"">Chris Abani</a></em></p>
<p></p>
<p></p>
<p class=""line"">There is a place on the veld where elephants go to die.</p>
<p class=""line"">Here they come across the skeletons of other elephants.</p>
<p class=""line"">They pause amid the whiteness, raise their trunks and howl</p>
<p class=""line"">to the absent flesh, circling the bones, picking up each one,</p>
<p class=""line"">putting it down; circling one last time, they stand still in silence</p>
<p class=""line"">for an age, then move. Steps less assured, slower.</p>
<p class=""line"">Why was it so hard to tell my mother, I love you,</p>
<p class=""line"">like the man in Sarah’s translation of Gennady’s poem</p>
<p class=""line"">tracing a woman’s face with a flower?</p>
<p class=""line"">To cling to death, to a metaphor as real as a dying parent,</p>
<p class=""line"">is to wrap language around an absence.</p>
<p class=""line"">There are stories that can kill you. </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={3C0744D9-0AFE-4E6C-BCC3-83A30E833ADF}"">Sanctificum</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71162929870001451"">Find it in the library</a></p><p class=""citation"">Copyright 2010 Chris Abani<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""http://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Dec 24, 2015",http://poetry.lib.uidaho.edu/index.php/poems/elephants-4/,-0.313021,0.184841,0.182035,0.464317,0.070624,0.457414
Elephants 5,Chris Abani,"<p class=""line""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#chris-abani"">Chris Abani</a></em></p>
<p></p>
<p></p>
<p class=""line"">It is not likely that my father and I will take a walk soon </p>
<p class=""line"">and not just because he is dead. </p>
<p class=""line"">But he did come back in a dream to cook </p>
<p class=""line"">me a simple dish of beans with tomatoes </p>
<p class=""line"">and, through the steam rising from my bowl, </p>
<p class=""line"">he smiled as he cut me a slice of bread, </p>
<p class=""line"">vanishing slowly with every saw. </p>
<p class=""line"">The heart is like this sometimes. </p>
<p class=""line"">It finds the hands of your dead father </p>
<p class=""line"">and shaves away another layer </p>
<p class=""line"">like a thick slab of warm bread. </p>
<p class=""line"">Sometimes that, Tadeusz. Or sometimes this. </p>
<p class=""line"">That the lines lead you out of the labyrinth. </p>
<p class=""line"">That the Minotaur is your toy bear thrown casually </p>
<p class=""line"">against a chair in the dark. </p>
<p class=""line"">That rain will come. </p>
<p class=""line"">That rain will come. </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={3C0744D9-0AFE-4E6C-BCC3-83A30E833ADF}"">Sanctificum</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71162929870001451"">Find it in the library</a></p><p class=""citation"">Copyright 2010 Chris Abani<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Apr 14, 2016",http://poetry.lib.uidaho.edu/index.php/poems/elephants-5/,-0.118823,0.133379,0.125327,0.411615,0.222283,0.47461
Histories 4,Chris Abani,"<p class=""line""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#chris-abani"">Chris Abani</a></em></p>
<p></p>
<p></p>
<p class=""line"">When I was five, </p>
<p class=""line"">I tried to fetch water from the unfinished septic tank </p>
<p class=""line"">with a plastic teapot for my sister’s tea party. </p>
<p class=""line"">I fell, the weakness of water-eroded wood giving beneath me. </p>
<p class=""line"">What kind of son betrays his father like this? </p>
<p class=""line"">As I emerged, I saw he was about to leap. </p>
<p class=""line"">Maybe that was why he beat me so much. </p>
<p class=""line"">Maybe it is too much for your father to believe </p>
<p class=""line"">that he would give his life for you. </p>
<p class=""line"">And who can blame him? </p>
<p class=""line"">I wanted to be a son you could be proud of, Father. </p>
<p class=""line"">I killed the way you taught me. </p>
<p class=""line"">But I liked dolls and tea and playing with my sister. </p>
<p class=""line"">Forgive me. </p>
<p class=""line"">This is the body of man. </p>

<p class=""line""><em>Sanctificum</em>. </p>
<p class=""line"">And then the war followed. </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={3C0744D9-0AFE-4E6C-BCC3-83A30E833ADF}"">Sanctificum</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71162929870001451"">Find it in the library</a></p><p class=""citation"">Copyright 2010 Chris Abani<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Apr 26, 2016",http://poetry.lib.uidaho.edu/index.php/poems/histories-4/,-0.311984,0.148027,0.13665,0.54132,0.477834,0.485197
Histories 8,Chris Abani,"<p class=""line""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#chris-abani"">Chris Abani</a></em></p>
<p></p>
<p></p>
<p class=""line"">When you first see a man die </p>
<p class=""line"">from a machete cut or a bullet, </p>
<p class=""line"">which is to say, when you first confront </p>
<p class=""line"">the astonishment of blood and feel it </p>
<p class=""line"">creep over your skin like a sugary sludge, </p>
<p class=""line"">even though the cracks it wets are not your skin, </p>
<p class=""line"">but really the obsidian of the road, </p>
<p class=""line"">you feel sick in ways you thought not possible. </p>
<p class=""line"">A deep and wonderful bile </p>
<p class=""line"">that can never leave your stomach. </p>
<p class=""line"">And then the days pass and you become familiar </p>
<p class=""line"">with its ways and it bothers you no more </p>
<p class=""line"">than cherry syrup dripped over pancakes. </p>
<p class=""line"">You grow bored and impatient with it all. </p>
<p class=""line"">With the shock of those just-arriving moments. </p>
<p class=""line"">After that, people can die around you day and night </p>
<p class=""line"">and you go on without noticing. </p>
<p class=""line"">My capacity for it scares me. </p>
<p class=""line"">Blessed are the undefiled in the way. </p>
<p class=""line"">There are two ways to view the body. </p>
<p class=""line"">Resurrection and crucifixion. </p>
<p class=""line"">Everything that falls between is ritual. </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={3C0744D9-0AFE-4E6C-BCC3-83A30E833ADF}"">Sanctificum</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71162929870001451"">Find it in the library</a></p><p class=""citation"">Copyright 2010 Chris Abani<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Mar 20, 2016",http://poetry.lib.uidaho.edu/index.php/poems/histories-8/,-0.301866,0.110396,0.113833,0.64254,0.298444,0.568979
