title,author,date,link,sentiment_label,sentiment_score,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness,keywords
Death,Kwame Dawes,"Dec 31, 2015",http://poetry.lib.uidaho.edu/index.php/poems/death/,negative,-0.178281,0.091046,0.490047,0.538384,0.095,0.505312,wide openmouthed laugh; dead cat; death; magic charm; Holy Spirit; silent. Death; broken neck; man; yellow scarf; fear death; white man; solid meal; cotton prices; early morning; open sky; dead dog; stench; face; power; lump; tangle; saucers; kerchief; sack; canker; sunsets; claws; spit; fingers; crows; weeds; flies; trousers; lip; faith; tail; Jesus; waits; way; cologne; hog; barn; eau; hides; dies.; skin; dawn; hand; life; eyes
Manna,Laura Kasischke,"Apr 3, 2016",http://poetry.lib.uidaho.edu/index.php/poems/manna/,negative,-0.113093,0.072375,0.444021,0.121537,0.584,0.542124,earthly word; Permanent snow; powdered sugar; condensed foam; Solid fluff; spongy stones; old-fashioned candy; blood cells; lumps; hips; Weighted; grandmother; oxygen; flesh; bliss; shade; Pale; desire; soap; ghost; pocket; childhood; center; morsels; angel; lozenges; child
At the public pool,Laura Kasischke,"Dec 1, 2015",http://poetry.lib.uidaho.edu/index.php/poems/at-the-public-pool/,negative,-0.355031,0.093242,0.397596,0.128162,0.257,0.576835,slowly rolling mirror; strange blue porcelain; terrible Euphrates; bearable memory; strong man; small child; blond curls; considerate expression; little shrub; public waters; naked lake; plugged-up fountain; little son; Political Art; beautiful belly; Radio Songs; public life; perfect head; arms; cries; Botticelli; tan; Crap; tail; Bought; drinks; transparent; father; lion; gun; hunter; tracks; edge; mother; Museum; need; sheet
Cigarettes,Laura Kasischke,"Mar 16, 2016",http://poetry.lib.uidaho.edu/index.php/poems/cigarettes/,negative,-0.0216525,0.061303,0.507134,0.120578,0.327,0.257006,moonless night; little glasses; family photo; open graves; mysterious child; laugh; extravagance; mantel; gymnasiums; sarcasm; birdbaths; mismanagement; glowing; ashes; lungs; Cigarette; orchestras; jar; ones; smoking; smoke; suffering; parking; eyes; snow; jokes; hand; sound; homeliness; lovemaking; room; road
Mushrooms,Laura Kasischke,"Apr 22, 2016",http://poetry.lib.uidaho.edu/index.php/laura-kasischke/mushrooms/,positive,0.00528588,0.089407,0.366892,0.073175,0.163,0.357946,silent naked monks; old tree stump; bare arms; hot tears; tongues; silence; teeth; thought; night; nothingness—; God
Childhood Friend,Laura Kasischke,"Dec 20, 2015",http://poetry.lib.uidaho.edu/index.php/poems/childhood-friend/,negative,-0.137806,0.1241,0.177657,0.129721,0.575,0.4579,Ancient violets; sequined girl; small stuff; childhood flowers; specks; blizzard; roar; flakes; elephants; accumulation; trapeze; clowns; friend; breeze; desks; bees; bus; Asthma; circus; Sand; wings; words; scales; path; dust; stars; skin; living; children; sun; noose—; dander; birds; man; hair
January,Laura Kasischke,"Mar 3, 2016",http://poetry.lib.uidaho.edu/index.php/poems/january/,negative,-0.0899439,0.0377,0.06897,0.255374,0.469,0.222222,tiny bees; howling; Sweetheart; bits; winter; miniature; wind; spring
Macaroni & Cheese,Laura Kasischke,"Feb 13, 2016",http://poetry.lib.uidaho.edu/index.php/poems/macaroni-cheese/,negative,-0.0859116,0.403805,0.130101,0.184966,0.535,0.507861,strange slow snow; dreamy circles; Love. Hunger; black bird; dish; cloth; sweetening; carcass; Darling; pale; reflection; oven; breathing; eyes; shape; God; them—; road; sky; alchemies; woman; Santa; center; Jesus; heart
Valentine,Laura Kasischke,"Apr 28, 2016",http://poetry.lib.uidaho.edu/index.php/poems/valentine/,positive,0.0191248,0.181295,0.127587,0.010198,0.176,0.50006,sheer silk blouse; bra worn; pale tablecloth; mother; blood stain; black lace; white carpet; red thread; doves; scarlet; burgundy; cage; vein; needle; love; glass
The Thigh,Laura Kasischke,"Feb 29, 2016",http://poetry.lib.uidaho.edu/index.php/poems/the-thigh/,negative,-0.141511,0.103891,0.415299,0.535276,0.296,0.55962,drowned blue butterflies; calm milked cows; warm pool; mindless shore; boy’s fingers; silk sack; vaporous voices; dead ebbing; naked man; white fish; forest floor; thigh; moony; withdraws; water; hem; harpoon; Sleeve; proof; flesh; clover; tone; sword; pale; weapons; world; bone; Clothing; shadow; deck; bath; meat; living; memory; skirt—guess; club; field; flowers
Elegy,Laura Kasischke,"Apr 5, 2016",http://poetry.lib.uidaho.edu/index.php/laura-kasischke/elegy-2/,negative,-0.110403,0.149471,0.467063,0.400463,0.050,0.030165,train speeding; snowy forest; vast North; humble student; greatest authority; hidden mechanics; red cloth; cell phone; rearview; fogging; waving; sink; emptiness; mouth; lust; passport; rust; silence; staging; Travels; coat; flag; Bureau; morning; doors; dream; Germany; plans; bed; edge; need; ocean; car; wine
Control Group,Lisa Olstein,"Jan 6, 2016",http://poetry.lib.uidaho.edu/index.php/poems/control-group/,negative,-0.333741,0.118713,0.11594,0.595231,0.195,0.616498,Jupiter AM-18 rocket; Blind babies; solitary locust; mute child; orphan crying; Miss Baker; mother’s tit; flat screen; steel walls; monkey; cage; pelicans; mosquitoes; hangs; sight; sentences; enclosure; Mice; ghosts; infant; Consumers; monitors; hero; schedule; person; experiment; dirt; leather; skin; animal; bridge; board; number
Elegy,Lisa Olstein,"Jan 28, 2016",http://poetry.lib.uidaho.edu/index.php/poems/elegy/,negative,-0.130067,0.118106,0.150644,0.142135,0.207,0.517497,n’t finding; mirrored highway; flight brains; missing-person flyers; river; death; hummingbird; yard; decay; vein; Newspapers; cloths; coordinates; bodies; flags; tape; degrees; tree; road; body; experts; cliché; degree; sea; sun
Notes from the Wilderness,Lisa Olstein,"Mar 22, 2016",http://poetry.lib.uidaho.edu/index.php/lisa-olstein/notes-from-the-wilderness/,positive,0.002917,0.091369,0.085908,0.188954,0.523,0.459039,cloud forests; cloud seas; milk-white hands; real work; Colors pool; Shh; mist; blanket; door; eyes; banks; laboratory; sound; method; moon; eye
Smaller Devices,Lisa Olstein,"Mar 28, 2016",http://poetry.lib.uidaho.edu/index.php/poems/smaller-devices/,negative,-0.315462,0.148188,0.104143,0.14962,0.428,0.475832,late season grasses; sympathy; Flashes; feelings; alarms; rituals; seasons; heart; news; machine; records; file
This is a Test of the Internal Emergency Broadcast System,Lisa Olstein,"Dec 9, 2015",http://poetry.lib.uidaho.edu/index.php/lisa-olstein/this-is-a-test-of-the-internal-emergency-broadcast-system/,negative,-0.0640867,0.53961,0.155254,0.20481,0.188,0.429893,little girl; bright green snake; Hungry deer step; small glass bird; spotted mice; pet store; way home; paper bag; elevated heart; velvet-gloved legs; red-tipped posts; steel envelope; drive look; suds; underfoot; prepaid
The Brain Is an Operations Center,Lisa Olstein,"Dec 13, 2015",http://poetry.lib.uidaho.edu/index.php/lisa-olstein/the-brain-is-an-operations-center/,negative,-0.460344,0.100158,0.102841,0.561641,0.125,0.411402,cartoon animal friends; good-enough woods; blankness shame; heartbeats; sharpshooter; raccoon; geese; coyotes; trigger; body; sky; boy; air; way
The Famed Clipper Is in Flames,Lisa Olstein,"May 1, 2016",http://poetry.lib.uidaho.edu/index.php/lisa-olstein/the-famed-clipper-is-in-flames/,negative,-0.134952,0.134752,0.126643,0.211895,0.541,0.247014,saffron gates; ship; assassin; experiment; circles; clock; hands; warning; lamb; face; half; amnesiacs; river; factory
Themselves Performing Small Brave Acts,Lisa Olstein,"Apr 23, 2016",http://poetry.lib.uidaho.edu/index.php/poems/themselves-performing-small-brave-acts/,negative,-0.219755,0.173022,0.488355,0.390711,0.251,0.473016,fellow passenger; poor bastards; hollow pen; extra sweaters; new mate; cold places; way; Books; bear; city; airway; pylons; alligator; pockets; neck; nests; raptors; mates; packs; men; mountaintops; food
To Where,Lisa Olstein,"Mar 19, 2016",http://poetry.lib.uidaho.edu/index.php/poems/to-where/,negative,-0.071827,0.160534,0.123236,0.404841,0.267,0.493599,n’t matter; favorite thing; morning; half their brains; favorite time; home; berries; clothes; girl; bones; breathing; winter; word; sharks; mammals; problems; dark; dream
Photograph,Valzhyna Mort,"Jan 13, 2016",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/photograph/,positive,0.0670289,0.094589,0.416,0.180894,0.475,0.440452,ancient red fortress; black body bags; watermelon fortress; excellent grade; sweaty palms; pit holes; print blurs; enormous mother; report card; red bricks; man’s body; hand; Lifeline; leg; signifier; beach; blood; Sochi; thermometer; slice; Honeymoon; confidence; enemy; smiles; legs; knee; passengers; Sochi.; eyes; airplane; corner; boy; length; page; horror; list; line; relief
Sylt II,Valzhyna Mort,"Mar 27, 2016",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/sylt-ii/,negative,-0.235024,0.092452,0.184026,0.588173,0.471,0.258018,rival chess pieces; inaccurate cashier; Organ pedals; unmatched pieces; softest spot; cold radiator; wind; Organ pipes; tree; child; church; wall; weight; body; stillness; rots; plump; blister; strawberry; fist; mouth; shade; hair; sand; feather; scales; snake; ocean; grapes; walls; dust; head; sun; light; room; furniture; rock; time; ground; branches; feet
A Poem about White Apples,Valzhyna Mort,"Feb 8, 2016",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/a-poem-about-white-apples/,negative,-0.166606,0.197987,0.630473,0.026288,0.070,0.10234,white apples; white winter snow; black waters; green ocean; cotton wool; teeth; crispy; murderers; smell; breasts; fishermen; garbage; mothers; shells; dreams; skin; baby; summer; gardens; men; earth; weight; salt…
Factory of Tears,Valzhyna Mort,"Jan 3, 2016",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/factory-of-tears/,negative,-0.080105,0.103809,0.11939,0.092864,0.379,0.477549,Tears; highest productivity results; Food Refinery Station; annual report; compound fractures; night shifts; Heart Affairs; new records; heroic Factory; Department; calluses; cheeks; catastrophe; heels; wages; recipient; wastes; memories; eyes; Transportation; holidays; technology; pictures; employees
Grandmother,Valzhyna Mort,"Dec 29, 2015",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/grandmother/,negative,-0.137258,0.084941,0.288162,0.039171,0.039,0.546488,hair bees; unshaven cheek; red sticks; strong god; white moon; grandmother; pain; famine; pills; knees; stork; grapevine; chest; embrace; poverty; legs; wealth; skull; thing; wings; arms; wolf; water; nutrition; body; sun-speckles; heart; internet
Hospital,Valzhyna Mort,"Jan 19, 2016",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/hospital/,negative,-0.0274946,0.251827,0.174349,0.058913,0.080,0.512678,cement wall; colorful universe; medusa; starfish; cheek; senses; sink; moment; tops; eyes; time; head; earth; body; memory
Music of Locusts,Valzhyna Mort,"Mar 10, 2016",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/music-of-locusts/,negative,-0.0283313,0.172671,0.051041,0.191787,0.441,0.15713,small freckle; gigantic tortoises; middle-aged man; green t-shirts; locusts; god; wish; wind; color; eyelashes; teenager; nose; dusk; pond; coin; runners; Security; summer; wheels; air; heart; mountains; line; skin; road; army; night; body; sun; music
On a Steamer,Valzhyna Mort,"Mar 24, 2016",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/on-a-steamer/,negative,-0.261215,0.042083,0.23509,0.183236,0.164,0.412375,huge overturned christmas; lamps; branches; night; city; holiday; tree
Untitled 1,Valzhyna Mort,"Dec 11, 2015",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/untitled-1-2/,negative,-0.367097,0.051771,0.040837,0.490156,0.000,0.547214,huge book cemetery; dark bedrooms; yellow lamp; mass grave; books; cold bed; sensitive book; black letters; old books; books age; memory; pages; bathtub; Millbrook; stays; apartments; pillow; graves; scream; bell; dinner; road
Untitled 2,Valzhyna Mort,"Feb 14, 2016",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/untitled-2/,negative,-0.0874765,0.060024,0.090631,0.0669,0.024,0.79484,gigantic water birds; white stone houses; warm flame; school notebooks; immaculate conception; homeless dog; tv sets; ocean shore; legend; A.B; somebody; stranger; leash; mothers; faces; candles; towns; eggs; morning; skin; captain; class; world; night; lines; cities; omelets
"It Buds, It Bends, It Dies in the Glare",Mark Bibbins,"Mar 29, 2016",http://poetry.lib.uidaho.edu/index.php/mark-bibbins/it-buds-it-bends-it-dies-in-the-glare/,negative,-0.226502,0.037562,0.119003,0.392179,0.025,0.490073,Kristin Hersh; blood footprints; bathroom tile; fault; aperture; shredding; shirt; sandstone; Limit; math; slur—; direction.; youthface; box; snowsqualls; snails—none
We are not kissing and the river,Mark Bibbins,"Jan 10, 2016",http://poetry.lib.uidaho.edu/index.php/poems/we-are-not-kissing-and-the-river/,negative,-0.21341,0.203254,0.088628,0.211758,0.008,0.648986,long ascent; boat; glass; mainsail; mimesis; sill; knuckle; lips; delay; fingerprints; doubt; finger; half; night; colors; tricks; lights; sex; simple; trajectory—and; form; chain
There Is No You Are Everywhere,Mark Bibbins,"Jan 30, 2016",http://poetry.lib.uidaho.edu/index.php/poems/there-is-no-you-are-everywhere/,negative,-0.178724,0.169294,0.074789,0.185918,0.328,0.530093,insufficiently scandalous secrets; rebate checks; lobby floor—account; thigh; undoing; birthright; gulls; evening; Desire; mailbox; spill; motion; want; Brooklyn; right; home
Conifers,Mark Bibbins,"Feb 22, 2016",http://poetry.lib.uidaho.edu/index.php/poems/conifers/,negative,-0.178926,0.133024,0.141104,0.587884,0.027,0.190808,yellow whatsit overhead; closeted end; dormant sumac; fossil record; distraction weave; starless January.; white hill; crepuscular trees; mettle; advice; selflessness; cheeks; twigs; burns; afternoon; regard; scarves; perception; thing; boots; animal; snowmobile; hood; stream; scouts; snow
Almost as Good as What We Destroyed,Mark Bibbins,"Dec 16, 2015",http://poetry.lib.uidaho.edu/index.php/poems/almost-as-good-as-what-we-destroyed/,negative,-0.0466113,0.519464,0.104257,0.463671,0.129,0.31124,cool air forcing; real idiocy—how; unfamiliar roads; sensation rips; fewer possibilities; blue light; different seat; hand; perks; onscreen; outrage; taxis; waiting; incline; fluke; Vespa; adhere; scrub; cliff; night; canal; foot; bus; passenger; vehicle; book; table; contents; index—; truck; person; words; schedule; description; wing; skin
Poem That Wants to Know When You're Taking out the Trash,Mark Bibbins,"Dec 6, 2015",http://poetry.lib.uidaho.edu/index.php/poems/poem-that-wants-to-know-when-youre-taking-out-the-trash/,negative,-0.214431,0.172772,0.14434,0.429623,0.259,0.308425,hydraulic squeal; garbage night; breadth; wounds; sentence; fingers; reward; punishment; sort; depth; thing; opinion; people; way; living; paper; advice
Look Who Came Dressed as the Sun,Mark Bibbins,"Apr 12, 2016",http://poetry.lib.uidaho.edu/index.php/poems/look-who-came-dressed-as-the-sun/,negative,-0.236262,0.443134,0.196077,0.17129,0.092,0.701742,pale green thing; ironic detachment; takeout salad; orange notebook; extra fingers—it; stories end; sincerity; ambition; mouth; cradle; lizard; handle; seed; wind; critic; energy; Figure; joy; source; train; meat; blame—; man
Factory,Mark Bibbins,"Jan 27, 2016",http://poetry.lib.uidaho.edu/index.php/poems/factory/,negative,-0.490892,0.264678,0.26257,0.276901,0.003,0.319877,white inedible core; requisite layers; hideous truth; adjacent bridges; n’t painting; different paintings; things; disappointment; city; despair; factory; distractions; leek; strings; animal; instruments; songs; song
Clouds Mistaken for Nearby Clouds,Mark Bibbins,"Dec 18, 2015",http://poetry.lib.uidaho.edu/index.php/poems/clouds-mistaken-for-nearby-clouds/,positive,0.173383,0.031337,0.004925,0.221143,0.019,0.803021,tiny neon frogs; baroque jellyfish; melody; Hush; daylight; irony; god; moon; album
Untitled 1,Sherwin Bitsui,"Mar 14, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-1/,negative,-0.377617,0.357013,0.423031,0.229808,0.003,0.149791,insect husks; gull wings; elk teeth; paper sack; cracked amber—; double helix; living-room ceiling; electric sockets; kitchen sink; tree trunk; cold air; chlorine-stained floor; zigzag; whispers; stomp; corners; stems; strand; eyes; tin; leaves; sand; songs; sounds; hisses; hair
Untitled 2,Sherwin Bitsui,"Dec 12, 2015",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-2-2/,negative,-0.539352,0.080949,0.112677,0.281307,0.004,0.634021,yellow dawn eclipse; flickering finger; electrical wires; monsoon rain; yellow sign; autobiographical muscle; metallic leaves; Stop signs; charcoal sheets; phosphorescence; blinks; thawing; slices; basement; bricks; eyes; hunger; memory; house; trees
Untitled 3,Sherwin Bitsui,"Dec 10, 2015",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-3/,negative,-0.245378,0.128114,0.634914,0.138454,0.001,0.309254,wren eggs; drowned herons; eyelash hair; mud-covered hooves; half moths; rain-stained earth; gunfire; ellipses; ax; beaks; mouths; onions; drought; crow; entrance; nail; sap; bees; shoes; eyes; hand; summer; speech
Untitled 4,Sherwin Bitsui,"Feb 21, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-4/,negative,-0.209026,0.187675,0.515925,0.209468,0.041,0.113677,butcher’s thumbprints; soft whispers; dry stem; square cage; paper crane; marrows; silences; dove; nest; turtles; apple; water
Untitled 5,Sherwin Bitsui,"Mar 5, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-5/,negative,-0.48188,0.350475,0.373175,0.384559,0.002,0.058628,leave paw; tangled hair; fishing line; stings; mare; bait; mattress; wolves; room; swore
Untitled 6,Sherwin Bitsui,"Mar 15, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-6/,negative,-0.505378,0.166901,0.111924,0.328028,0.049,0.430517,children whisper night—; amniotic clouds; yellow teeth; drowned hummingbirds; double-plumed birdsongs; fi eld—; car exhaust; eagle-bone whistles; beaks; ears; lambs; body; deboned—; nation; ringlets
Untitled 7,Sherwin Bitsui,"Feb 2, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-7/,negative,-0.231409,0.299251,0.189958,0.170618,0.021,0.434073,fossilized amber; closed hands; pale origin—; gas lamps; mosquito; twig; knife; rain; fall
Untitled 8,Sherwin Bitsui,"Jan 21, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-8/,negative,-0.558446,0.076359,0.266383,0.272214,0.029,0.475782,ooze white gas; crushed turquoise; leopard spots; softened bellies; copper wire; loom yarn; canyons; Coyote; radon; cranes; electricity; drilling; windows; floor
Untitled 9,Sherwin Bitsui,"Mar 25, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-9/,negative,-0.565541,0.128242,0.393548,0.37716,0.002,0.260275,Gnawing coarse hair; wring bear blood; handspun red wool; ink-splattered eaves; darkened house; turtle hide; whale bones; ribs; reeds; flood; survivor; horse; neck; loom; face; skin
Untitled 10,Sherwin Bitsui,"Feb 10, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-10/,negative,-0.195391,0.009461,0.472553,0.503382,0.024,0.090908,sandstone canyon; closed ears; luminous landmines; bursting sun; darkened room; squash blossoms; ghost dogs; police sirens; water jars; wet hair; white sand; throats; cornfield; warmth; licks; gnats; footprints; starlight; gloves; flame; hands; feet; thunder; nbsp; song
Beached,Sarah Lindsay,"Dec 26, 2015",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/beached/,negative,-0.0573285,0.059112,0.243453,0.238797,0.031,0.51516,leaky cup; miserable wind; squint eye; pittance spill; blue skin; blowhole; pupil; belly; hands; hurricane; rolls; smoke; water; Earth
How I Was Born,Sarah Lindsay,"Jan 1, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/how-i-was-born/,negative,-0.456298,0.241797,0.173377,0.42427,0.182,0.472902,pale young men; powdered sugarcane; zipper teeth; anemic rats; defective marrow; protein mesh; salty food; warm spaces
If God Made Jam,Sarah Lindsay,"Mar 21, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/if-god-made-jam/,negative,-0.103431,0.195565,0.740802,0.013194,0.072,0.030092,Aunt Lydia; Cousin Bobby; Christmas lights; new home; rainy morning; stiff hands; earthly bread—; God’s jam; raspberry bite; royal-red jar; fireflies; berries; pip; rainbows; comma; jars; crusty; lid; Gloria; teeth; catechism; deity; preserves; grass; friend; news; people
Magnitude Aunt Lydia Does Stretching Exercises,Sarah Lindsay,"Jan 25, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/magnitude-aunt-lydia-does-stretching-exercises/,negative,-0.135607,0.097219,0.463478,0.169332,0.211,0.574072,soft sweet cheese; universe bluntly prints; unhatched robin-blue planet; coarse fabric weave; firmer cheese; curdy lumps; daily bread; delicious veins; windborne impurities; swinging pail; milch cow; desirably rank; black holes; dark matter; blue mold; wave functions; square roots; rennet; curls; earths; flanks; spirals; streaks; whey; milk; fleck; burlap; hooves; vat; Rifts; breadth; smell; chickens; stardust; gases; egg; rim; batch; corn; barn; congeals; metals; elements; head; Earth
Origin,Sarah Lindsay,"Feb 28, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/origin/,positive,0.0815063,0.097747,0.04197,0.146715,0.057,0.697537,incomparable curvaceous length; endoplasmic reticulum; abundant salts; Golgi apparatus; inner conflict; sharp heat; bitterness; cell; deceit; loneliness; Fed; nucleus; incidence; predator; prey; RNA; strength; thing; pastel; kind; sun; water; film; magnificent.; descendants
Radium,Sarah Lindsay,"Dec 19, 2015",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/radium/,negative,-0.101528,0.138659,0.470766,0.118604,0.254,0.272243,united gaze resting; radium salts; bubbling sauerkraut; industrial waste; skinny hausfrau; radioactive hair; past uranium; radioactive hand; beautiful color; dirt reduction; hidden element; Nobel Prize; smallest fingernail—just; pine needles; brown dust; lovely light; illegal schooling; brain cells; unheated rooms; calcium; hands; Sorbonne; rheumatism; Colorless; scraping; patience; knees; equilibrium; subsistence; pile; vat; determination; fingers; tons; marrow; hunger; bent; legs; boots; wife; gifts; theory; dirt—; husband; existence; woman; clothes; Proof; discovery; pitchblende
The Common Octopus,Sarah Lindsay,"May 2, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/the-common-octopus/,negative,-0.271093,0.110301,0.457886,0.178206,0.161,0.521316,octopus; fleshy lids; purple squares; purple cloud; sucking cups; ocean floor; bones; armpit; voice; tassel; shiver
The Mummy Walks,Sarah Lindsay,"Jan 16, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/the-mummy-walks/,negative,-0.359208,0.21053,0.209799,0.141506,0.197,0.329494,pale slender stalks; pure burnt mineral; right foot; twisted mouths; Long morels; oyster caps; strange fungus; wet gutters; available grain; gilled umbrellas; daylight traffic; puffballs; lids; bandages; ribs; mushrooms; tongue; remnants; teeth; ears; spores; collar
Whale Feathers,Sarah Lindsay,"Apr 1, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/whale-feathers/,negative,-0.195429,0.072542,0.434775,0.126077,0.245,0.549114,pipe shrill melodies; tiny whales; shabby plumage; cloudy fathoms; tropical shallows; courtyard ponds; luminous particles; iridescent amethyst; white twigs; neat turn; Stone records; molting seasons; implausible story; comprehensible world; swift creatures; penguin feathers; tube worms; musical bubbles; basement aquarium; Little Sargassos; kingdom bereft; open jaw; ocean floor; tyrannosaurs; plumes; brow; cracks; perch; Leviathan; ribs; trailing; lizards; cracker; beasts; chickens; puff; giants; ancestor; streams; time; scarves; finger; marvel; titanothere; echo; fur; mouse; rivers; head; size
Without Warning,Sarah Lindsay,"Dec 30, 2015",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/without-warning/,negative,-0.174134,0.075953,0.434202,0.543734,0.194,0.586475,greedy insects; Elizabeth Bishop; graceful hand; laughing smile; termite eggs; casual shift; solid furniture; latent sinkhole‚; great height—; windless mornings; hard-learned lesson; hollowed-out table; joy—a landscape; floor; forethought; bruise; gesture; termites; flung; legs; abundance; fact; moment; elbow; permission; breath; Florida; hurricanes; fear; warning; weight; shell; arm; room; proof; feet; Trees; holes; fall; people; dust; children
"Wave Before Leaving, Wave",Roger Reeves,"Jan 24, 2016",http://poetry.lib.uidaho.edu/index.php/roger-reeves/wave-before-leaving-wave/,negative,-0.519791,0.619508,0.20351,0.2226,0.126,0.564681,clawed feet; closed door; dark hand; half-moon; man; lip; sewer; throat; anger; rage; mouth; bottle; avalanche; Noah; fountain; evening; bed; God; night; square; bird; light; hair; palm; streetlamp; house
The Parable of a Blade of Grass,Roger Reeves,"Jan 11, 2016",http://poetry.lib.uidaho.edu/index.php/roger-reeves/the-parable-of-a-blade-of-grass/,negative,-0.0283124,0.020926,0.31147,0.562468,0.128,0.074677,city; old men; blade; grass; nbsp; flesh; small doors; heap stones; enters; young tongues; town gather; dirt-stained lips; house walls; city walk; children; city snap; couple; old women; knees; hands; watch; edge; thighs; whisper; hush; skirts; crawl; mice; backs; street; square; legs; heat; eyes; dust; flood
Shadowboxing Herons,Roger Reeves,"Mar 31, 2016",http://poetry.lib.uidaho.edu/index.php/roger-reeves/shadowboxing-herons/,negative,-0.110161,0.10674,0.205137,0.166219,0.321,0.478552,Wu-Tang Clan; Bobby Digital; black sword; Cash rules; Japanese pines; blood; streetcar; herons; slaughter; skylight; Shaolin; deposits; desire; ode; bullet; chest; wings; chamber; banks; flowers; snow; angel; skull-cup; box; children; water; saint; men; world; animal
"Samba in São Cristóvão, or Temporary Flight",Roger Reeves,"Feb 19, 2016",http://poetry.lib.uidaho.edu/index.php/roger-reeves/samba-in-so-cristvo-or-temporary-flight/,negative,-0.323643,0.165905,0.169451,0.139044,0.228,0.519015,pretty clothes; store windows; heart yearns; cold beer; bee lust; fugitive body; rhododendron bush; body necromancing; blue egg; lover; shadow; flight; valley; foot; Ipanema; property; piles; tines; mannequins; lips; cobblestone; pigeons; wrist; dummies; beneath; tongue; feet; permission; bottles; attempt; bees; breath; rage; needle; mouth; rhythm; floor; cloud; metro; city; thread
Romanticism (the Blue Keats),Roger Reeves,"Dec 4, 2015",http://poetry.lib.uidaho.edu/index.php/roger-reeves/romanticism-the-blue-keats/,negative,-0.230672,0.116435,0.475991,0.127736,0.232,0.573094,stuttering harp; gimp hermit; late-summer heat; baffled heart; ankle clicking; tattered rags; leg my uncle; redheaded trees; wet borders; tomato plants; hiding love; cedar poles; plum heart; savage wind; terrace; bamboo; body; city; persimmons; house; wrists; crickets; veranda; persimmon; burden; Tore; midsummer; fool; grotto; lover; streets; feet; losing; diamonds; monk; mouth; garden; vine; painting; violence; sage; mud; sleep; hands; angels; ropes; Woman; water; tents
Frail Bridges,Roger Reeves,"Dec 28, 2015",http://poetry.lib.uidaho.edu/index.php/roger-reeves/frail-bridges/,negative,-0.317456,0.136112,0.607504,0.216261,0.185,0.514614,small phone booths; brown diphthongs; slow tongue; hyssop bush; belly coos; nuisance—a man; leaf; eyelash; Behold; beating; hips; light; snail; mouth; pigeons; turtle; stem; branches; lovers; light.; hair; moon; bed; war
Epithalamium,Roger Reeves,"Apr 20, 2016",http://poetry.lib.uidaho.edu/index.php/roger-reeves/epithalamium/,negative,-0.104717,0.303215,0.454172,0.04879,0.253,0.013786,breathless city; temporary house; champagne gnaw; red yawning; feeding nothing—mosquito—lover—; yawn light; elbow; lovers; lungs; mouths; mosquitoes
Against Its Own Ringing,Roger Reeves,"Dec 8, 2015",http://poetry.lib.uidaho.edu/index.php/roger-reeves/against-its-own-ringing/,negative,-0.441768,0.117334,0.408702,0.660014,0.126,0.528694,metallic fish gather; bell broken; exhausted feet; woolen snood; barbwire fence; marble eyes; barest imagination; creek mis-practicing; body; tines; baptizing; scare; scar; chandelier; scattering; head; ringing; browning; Crow; meadow; diamonds; desire; corn; kind; Timothy; crown; hair; winter; Unsnack; Leers; spring; deer
